department,32,14
department,33,6
department,34,5
department,35,11
department,36,51
department,37,50
department,38,42
department,39,11
department,40,48
department,41,49
department,42,44
job,102,7907
job,8893,10079
job,9222,replace_9222
job,9245,9170
job,9246,8723
job,9247,8722
job,9248,9170
job,9249,10079
job,9250,8722
job,9251,9170
job,9252,8591
job,9253,8723
job,9254,10079
job,9255,8591
job,9256,11
job,9257,8723
job,9258,8723
job,9259,8722
job,9260,9170
job,9261,8591
job,9262,10079
job,9263,9170
job,9264,8591
job,9265,22
job,9266,8722
job,9267,7907
job,9268,8591
job,9269,8591
job,9270,8722
job,9271,9232
job,9272,8591
job,9273,10079
job,9274,8591
job,9275,9170
job,9276,8723
language,33,41
language,34,44
