francistown_1,job|9255,job|replace_9133
francistown_1,job|9257,job|replace_9257
francistown_1,job|9250,job|replace_19250
francistown_1,job|9254,job|replace_19254
francistown_1,job|9252,job|replace_19252
francistown_1,job|9256,job|replace_19256
francistown_1,job|9258,job|replace_19258
francistown_1,job|9251,job|replace_19251
francistown_1,job|9238,job|9238
francistown_2,job|9260,job|replace_9260
francistown_2,job|9262,job|replace_9262
francistown_2,job|9263,job|replace_9263
francistown_2,job|9259,job|replace_9259
francistown_2,job|9255,job|replace_9133
francistown_2,job|9258,job|replace_9258
francistown_2,job|9256,job|replace_19256
francistown_2,job|9261,job|replace_19258
gaborone_1,job|9237,job|9237
gaborone_1,job|9249,job|replace_9249
gaborone_1,job|9252,job|replace_9250
gaborone_1,job|9251,job|9189
gaborone_1,job|9251,job|9189
gaborone_1,job|9250,job|replace_29250
gaborone_1,job|9253,job|replace_19253
gaborone_1,job|9248,job|replace_9248
gaborone_1,job|9243,job|replace_9243
gaborone_2,job|9237,job|9237
gaborone_2,job|9249,job|replace_9249
gaborone_2,job|9248,job|replace_9248
gaborone_main,job|9252,job|replace_9252
gaborone_main,job|9251,job|replace_9251
gaborone_main,job|9237,job|9237
gaborone_main,job|9249,job|replace_9249
gaborone_main,job|9250,job|replace_9250
gaborone_main,job|9255,job|replace_9255
gaborone_main,job|9253,job|replace_9253
gaborone_main,job|9248,job|replace_9248
nyangagwe,job|9261,job|replace_9261
nyangagwe,job|9272,job|replace_9272
nyangagwe,job|9257,job|replace_9252
nyangagwe,job|9269,job|replace_9269
nyangagwe,job|9271,job|replace_9271
nyangagwe,job|9254,job|replace_9254
nyangagwe,job|9270,job|9237
nyangagwe,job|9237,job|9237
nyangagwe,job|9274,job|replace_9274
nyangagwe,job|9249,job|replace_9249
nyangagwe,job|9252,job|replace_9250
nyangagwe,job|9251,job|9189
nyangagwe,job|9250,job|replace_29250
nyangagwe,job|9277,job|replace_9277
nyangagwe,job|9263,job|replace_9263
nyangagwe,job|9256,job|replace_9256
nyangagwe,job|9275,job|replace_9275
nyangagwe,job|9279,job|replace_9279
nyangagwe,job|9253,job|replace_19253
nyangagwe,job|9248,job|replace_9248
nyangagwe,job|9264,job|replace_9264
nyangagwe,job|9255,job|replace_19255
nyangagwe,job|9243,job|replace_9243
nyangagwe,job|9278,job|replace_9278
nyangagwe,job|9267,job|replace_9267
nyangagwe,job|9238,job|9238
nyangagwe,job|9268,job|replace_9268
scotbase_mar09,job|9224,10079
scotbase_mar09,job|9233,10079
scotbase_mar09,job|9235,10079
scotbase_mar09,job|9236,job|replace_9236
scotbase_mar09,job|9226,job|replace_9226
scotbase_mar09,job|9227,job|replace_9227
scotbase_mar09,job|9241,job|replace_9241
scotbase_mar09,job|9240,job|replace_9240
scotbase_mar09,job|9231,job|replace_9231
scotbase_mar09,job|9230,job|replace_9230
scotbase_mar09,job|9225,job|replace_9225
scotbase_mar09,job|9239,job|replace_9239
